brand,name,current_price,former_price,discount
Oakley,Barrelhouse,255.0,,
Oakley,Socket 5.5,227.0,,
,,,,
Oakley,Holbrook RX,187.0,,
Oakley,Enigma Mass,255.0,,
Ray-Ban,RB6348D,127.4,182.0,30.0
Ray-Ban,RB3925V,155.4,222.0,30.0
Ray-Ban,RB5446,186.0,,
Ray-Ban,RB8780D,276.0,,
Ray-Ban,RB7017,222.0,,
Ray-Ban,RB5154 Clubmaster,222.0,,
Persol,PO3263V,363.0,,
Versace,VE1285,210.0,300.0,30.0
Gucci,GG1340O,259.25,305.0,15.0
Kate Spade,Lucyann,161.0,230.0,30.0
Burberry,BE2420,294.7,421.0,30.0
Dolce & Gabbana,DG3415,234.5,335.0,30.0
Versace,VE1175B,221.2,316.0,30.0
Coach,HC6065,178.5,255.0,30.0
Giorgio Armani,AR7202,381.5,545.0,30.0
RALPH by Ralph Lauren,RA7158U,98.7,141.0,30.0
Ray-Ban,RB7047,176.0,,
Ray-Ban,RB7140,237.0,,
Ray-Ban,RB6335,210.0,,
Ray-Ban,RB5268,176.0,,
